zeichen_profil,IPE,HEB
80,1.05,-1
100,1.24,2.53
120,1.45,3.06
140,1.65,3.58
160,1.84,4.05
180,2.05,4.57
200,2.24,5.07
220,2.48,5.59
240,2.69,6.08
270,3.02,-1
300,3.35,7.58
330,3.55,-1
360,3.79,7.49
