zeichen_profil,IPE,HEB
80,7.6,-1
100,10.3,26
120,13.2,34
140,16.4,43
160,20.1,54.3
180,23.9,65.3
200,28.5,78.1
220,33.4,91
240,39.1,106
270,45.9,-1
300,53.8,149
330,62.2,-1
360,72.7,181
